"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"1",9,0.00110871768879878,35,35,"S","Buchnera aphidicola","Buchnera aphidicola","Bacteria","G-","布赫纳氏菌属","","布赫纳氏菌属菌种，是一种蚜虫的初级专性共生菌，可寄主提供必需的营养素。"
"2",72,0.000886974151039027,28,28,"S","Simonsiella muelleri","Simonsiella muelleri","Bacteria",NA,NA,NA,NA
"3",303,0.0035795742524075,113,113,"S","Pseudomonas putida","Pseudomonas putida","Bacteria","G-","假单胞菌属","恶臭假单胞菌生物型B","恶臭假单胞菌是人类和鱼类共患病原菌，是一种常见的环境污染菌，也是人类咽部的正常菌群。偶可从人类感染标本中分离出，是人类少见的条件致病菌，不为临床所重视。因此，对其临床流行病学与耐药性研究较少，但人体感染后该菌自溶可释放内毒素而使人体出现中毒症状，可造成多器官感染、败血症、感染性休克，甚至危及生命。"
"4",316,0.000633552965027876,20,20,"S","Stutzerimonas stutzeri","Stutzerimonas stutzeri","Bacteria",NA,NA,NA,NA
"5",354,0.00772934617334009,244,244,"S","Azotobacter vinelandii","Azotobacter vinelandii","Bacteria","G-","自生固氮菌属","维氏固氮菌","自生固氮菌属菌种，专性好氧，广泛应用于农业研究的重要模式生物。"
"6",410,0.00209072478459199,66,66,"S","Methylobacterium organophilum","Methylobacterium organophilum","Bacteria",NA,NA,NA,NA
"7",470,0.00364292954891029,115,115,"S","Acinetobacter baumannii","Acinetobacter baumannii","Bacteria","G-","不动杆菌属","鲍曼不动杆菌","广泛分布于土壤，水和健康人的皮肤，咽，结膜，唾液，肠胃道，阴道分泌物中，有机会致病性，是导致医院感染的常见菌之一。该菌粘附性强，易粘附在各类医用材料上，常侵犯免疫功能受损宿主（免疫功能受抑制，术后，呼吸机相关性肺炎，烧伤，ICU患者，装置相关感染及营养不良的患者），感染部位还包括脑膜炎（神经外科术后并发感染，大多与侵入性操作有关，如颅脑手术，脑室外引流术，腰大池引流等），肝脓肿，心内膜炎，脑脓肿。血流感染通常是导管相关性血流感染，或继发于院内获得性肺炎或呼吸机相关性肺炎的序列感染。"
"8",495,0.00354789660415611,112,112,"S","Neisseria elongata","Neisseria elongata","Bacteria","G-","奈氏球菌属","","存在于人口咽部，在极少数情况下会引起败血症，骨髓炎和感染性心内膜炎。"
"9",562,0.104662949822605,3304,3304,"S","Escherichia coli","Escherichia coli","Bacteria","G-","埃希菌属","大肠埃希菌","是临床上最常见，最重要的埃希菌属菌种，革兰阴性，兼性厌氧，是人类肠道中重要的正常菌群。有机会致病性，能引起免疫力下降宿主的肠道外感染，某些血清型的大肠埃希菌能导致人类肠胃炎。该菌致病物质为黏附素，外毒素，内毒素等。多数在肠道内不致病，但移位至肠道外组织或器官则可引起感染，多为内源性感染，一般导致败血症，新生儿脑膜炎（非内源性），泌尿道感染（多为尿路致病性大肠埃希菌导致）；某些血清型可导致人类胃肠炎，为外源性感染，包括肠产毒性大肠艾希菌，肠侵袭性大肠埃希菌，肠致病性大肠埃希菌，肠出血性大肠埃希菌，肠聚集性大肠埃希菌。"
"10",573,0.0203687278256462,643,643,"S","Klebsiella pneumoniae","Klebsiella pneumoniae","Bacteria","G-","克雷伯菌属","肺炎克雷伯菌","广泛存在于自然界以及人类的呼吸道和肠道中，为条件致病菌，亦是院内感染的重要致病菌，可引起呼吸道、泌尿生殖系感染，创伤、败血症及腹泻。"
"11",584,0.00183730359858084,58,58,"S","Proteus mirabilis","Proteus mirabilis","Bacteria","G-","变形菌属","奇异杆菌","是仅次于大肠杆菌，引起泌尿系统感染的主要病原菌，肾结核和膀胱结石的形成可能与其有关。有的菌株还可引起脓毒症、食物中毒、腹膜炎、脑膜炎等。"
"12",729,0.00681069437404967,215,215,"S","Haemophilus parainfluenzae","Haemophilus parainfluenzae","Bacteria","G-","嗜血杆菌属","副流感嗜血杆菌","副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。"
"13",735,0.00224911302584896,71,71,"S","Haemophilus parahaemolyticus","Haemophilus parahaemolyticus","Bacteria","G-","嗜血杆菌属","0","0"
"14",821,0.000855296502787633,27,27,"S","Phocaeicola vulgatus","Phocaeicola vulgatus","Bacteria",NA,NA,NA,NA
"15",1260,0.00133046122655854,42,42,"S","Finegoldia magna","Finegoldia magna","Bacteria","G+","大芬戈尔德菌","大芬戈尔德菌","芬格尔德菌属菌种，革兰阳性，厌氧，是人类的机会致病菌，主要造成少见的骨感染和关节感染。"
"16",1270,0.0227128737962494,717,717,"S","Micrococcus luteus","Micrococcus luteus","Bacteria","G+","微球菌属","藤黄微球菌","是革兰氏阳性，专性需氧菌。藤黄微球菌在土壤，灰尘，水和空气中被发现，并且是哺乳动物皮肤正常菌群的一部分。细菌还定植于人的口腔，粘膜，口咽和上呼吸道。"
"17",1275,0.00117207298530157,37,37,"S","Kocuria rosea","Kocuria rosea","Bacteria",NA,NA,NA,NA
"18",1280,0.0615179929042068,1942,1942,"S","Staphylococcus aureus","Staphylococcus aureus","Bacteria","G+","葡萄球菌属","金黄色葡萄球菌","金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。"
"19",1282,0.01954510897111,617,617,"S","Staphylococcus epidermidis","Staphylococcus epidermidis","Bacteria","G+","葡萄球菌属","表皮葡萄球菌","表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。"
"20",1283,0.00129878357830715,41,41,"S","Staphylococcus haemolyticus","Staphylococcus haemolyticus","Bacteria","G+","葡萄球菌属","溶血葡萄球菌","溶血葡萄球菌是一种凝固酶阴性葡萄球菌，属于人类皮肤、粘膜的正常菌群之一，在机体菌群紊乱的情况下，可引起泌尿生殖道和创伤等部位化脓性感染。"
"21",1290,0.00167891535732387,53,53,"S","Staphylococcus hominis","Staphylococcus hominis","Bacteria",NA,NA,NA,NA
"22",1296,0.000348454130765332,11,11,"S","Mammaliicoccus sciuri","Mammaliicoccus sciuri","Bacteria",NA,NA,NA,NA
"23",1303,0.00586036492650786,185,185,"S","Streptococcus oralis","Streptococcus oralis","Bacteria","G+","链球菌属","口腔链球菌","口腔链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"24",1305,0.00345286365940193,109,109,"S","Streptococcus sanguinis","Streptococcus sanguinis","Bacteria","G+","链球菌属","血链球菌","血链球菌，人类口腔正常寄居菌，有少见的机会致病性，可导致心内膜炎。"
"25",1308,0.00180562595032945,57,57,"S","Streptococcus thermophilus","Streptococcus thermophilus","Bacteria","G+","链球菌属","嗜热链球菌","目前无致病性报道。"
